	1	2	3	4	5	6	7	8	9	10	11	12
ABCD4	0.000179997061798	-3.081475159326136e-05	-0.0003172843764222	0.00047557588241	9.004675343194835e-05	-0.0001340806268745	-0.0002517001889219	-0.0001356190341953	-8.483163966403348e-05	-9.183943107320136e-05	-3.658245314910647e-05	-0.0002123578853648
ABCE1	-1.8506673999250155e-05	-0.0003590199266963	-0.0002644295279518	0.0007608187949292	0.000321944439211	-0.0002843083404954	0.0002693473134256	-0.0005290483153195	-3.6915977397836976e-06	0.0002156805517476	-0.0001717904551873	7.501144263823872e-05
ABCF1	-0.0001881546927663	-0.000168499850292	-0.0001231163764606	-6.167193543110255e-05	0.0001084056855456	0.0003858851320811	0.0001857239260536	5.80458899733017e-06	0.0003047000415736	-1.4573497482913192e-05	8.680455775176774e-05	0.0004213866293539
ABCF2	-0.0002951465763752	0.0001409575160904	0.0003419294236269	0.0001293175685313	8.861983424341141e-05	-0.0001116195926049	-0.0003407382358679	-0.0002831622060616	0.0001953901652453	0.0003917616545933	0.0003607451905675	-0.0002003677260737
ABCF3	-5.710641122714341e-05	6.737653716607163e-05	-6.941059252665114e-05	0.0001418275777278	0.000144485000181	-9.119043949204006e-05	-0.0001003422288186	-9.048742396328037e-05	-9.347585740483505e-05	5.496463731836488e-05	-8.222596890650722e-05	-0.0001126854648952
ABCG1	0.0010879991793367	-0.0001972731645447	-0.0006802106494994	-0.000639202876896	-0.000175274673751	0.0004489161098997	0.0002754640178005	-0.0004875299870588	-0.0005073150885783	-3.837731584709366e-05	-0.0002942585087815	0.000282863935019
ABCG2	0.000122887952006	-6.103593208749168e-05	-0.0002257761099758	9.394422389547382e-05	0.0001209857639754	1.9524354424384272e-05	-4.724354662398007e-05	-2.8591424048049907e-05	-0.0002274738360984	-3.255662789961001e-05	1.7329419835900694e-05	-1.8745595475479768e-05
ABCG4	6.755843149738617e-06	-7.010308326652732e-05	-0.0002111422093005	-8.039923434913697e-05	-0.0001150918472907	0.0002754145609978	0.0001545929593957	4.852740215983839e-05	-8.058038758751824e-05	0.0001366255399165	0.0004208001237225	5.051387396038132e-05
ABCG5	1.2703501198175608e-05	9.76740222479915e-06	-7.793519784604858e-05	2.044131245414236e-05	-1.4409428899853896e-05	8.021397835423409e-05	-3.775623832175572e-05	-3.0434921418933256e-05	-5.843588534430802e-05	-3.033690032033863e-05	-2.367221194285301e-05	-8.797074151540333e-05
ABCG8	-6.240367619197362e-05	-9.948265831970612e-05	8.292625811478455e-05	0.0001670023523378	7.488288484138456e-05	-7.154847991918604e-05	-0.0001329961991724	-7.55719682394897e-05	6.43427475872146e-05	-2.454824738564056e-06	0.0003763307171205	-0.000143756886706
ABHD1	0.0001719429018162	4.0623047084069466e-05	-1.00991992799665e-05	-0.0001999763937222	-8.937215161315308e-06	-3.783786457003369e-05	1.3403294478724288e-05	-4.027073322115439e-05	-0.0001006434024088	-2.172239913914426e-05	-0.0002080121234622	-0.0001207660083983
ABHD10	0.0002501411476571	-0.0003025852359156	-0.0003159947325643	0.0006382603850324	0.0003198116062272	-0.0003076616829693	-0.0002011840083382	-0.0003217874609216	0.0004249135098101	-0.0001417482598716	-0.0003156715122415	-0.000340428374104
ABHD11	-0.0001744156840852	-7.213873593326744e-05	0.0005114883073713	-3.723452427923939e-05	-0.0002506227706887	-5.079240051473342e-07	0.0001658114402691	-9.992978341011336e-05	0.0001639321914922	4.596123877064527e-05	-0.0003444249255593	0.0006747481151637
ABHD12	0.0006458875400146	-0.0004310519453594	-0.0010757772189489	-0.00085852491937	0.0005280931794112	0.0006227392185628	0.0005002951202241	7.968487880676372e-06	7.938531792392952e-05	-0.000194595385715	-0.0001773486939576	-0.0001122611342995
ABHD12B	-2.6170709281752985e-05	0.0001757088138152	-5.455422306118312e-05	-0.0001372834991466	0.0001239491125263	-0.0001129349828843	-2.1511005209050223e-05	0.0001152048890057	7.768776281612283e-05	-7.401028986736449e-05	-0.0005188359162087	-0.000102807371351
ABHD13	0.0001493283854826	0.0001870709371695	-0.0002902302340671	-0.0002676410458305	0.0004581094180836	-0.0003278526782655	-1.2755249239226013e-05	-0.0001885352506963	-0.0003421391761966	-0.0001833774443854	0.0007001392291096	-0.0001961092687932
ABHD14A	-0.0002038390687601	-0.0001486978383098	9.748466689787852e-05	0.0006492399938881	-8.871346185630075e-05	4.4821575623882886e-05	-0.0001815345889223	3.5018672889633616e-05	-0.0002610987966516	2.045655064662574e-05	5.069221449435609e-05	1.672101865891494e-05
ABHD14B	-0.0002189314691348	0.0001164839834241	0.000269485850395	0.0005223092522256	-0.0002831725106371	-2.284777813895364e-05	-0.0002045078518509	-0.0001188905216097	0.0001595087273606	0.0002292712712136	-0.0005004228771528	-0.0003476657501254
ABHD15	0.0001732471708971	-0.0005342432923403	-0.0010164436804012	0.0024119014613046	-8.055346246700401e-05	1.4010170250063431e-05	-0.0001856394242542	-0.000338186357952	-0.0005705934303958	-0.0002709509984104	-0.0003083566008573	-0.0002008091703616
ABHD16A	-0.0001795443699779	9.7532086833015e-05	0.0001491013231384	8.228573336286612e-05	-3.804325445281166e-05	1.671568740986214e-05	-0.000103472165288	-0.0002037469444046	0.0003299081300848	-0.0001211369353211	0.0001534648986161	0.0002936789181732
ABHD16B	-3.29208204539072e-06	-0.0001557936347969	-0.0002560274128219	-4.526232753180657e-05	0.0003454578462357	0.0004349707208558	-6.111732938523068e-05	-0.0001989516957582	-0.0001403988083241	-6.884292401230755e-06	-0.0001281598971067	-0.0001285360790534
ABHD17A	-0.0005648369586417	4.775374270058223e-05	0.0007594884815572	0.0009524478987858	-0.0003658281842903	-0.0004387236570178	-9.589019833383822e-06	-0.0002263056306858	0.0004413477542414	8.078233940778866e-05	-0.000185971673914	-0.0002369995269729
ABHD17B	0.0007444579202467	-0.0003850647148338	-0.0008394799634268	-0.0002289536432313	0.000247445600776	0.0004243380533967	-0.0003677109715118	-0.000263850868644	0.000649214040455	-0.0001292106416021	7.282574346918951e-05	0.0002300999740167
ABHD17C	0.0004906175143195	0.0002975467732281	-0.0005393517908136	-0.0008786849532323	-0.000124175479999	0.0012060468116672	-0.0005800968761372	-0.0002105696566533	-0.0001671037236021	-0.0002383142479192	1.0998891526947007e-05	-3.350515244331066e-05
ABHD18	0.0005599778656716	-6.189156639253457e-05	-0.0006492249904402	-5.473471178008184e-07	0.0005931467459207	-0.0003509348733868	-0.0003883492697124	-0.0002444752772927	2.5530634619542638e-05	-0.00021552086128	5.490302049626111e-06	-0.0001617485128402
ABHD2	0.0001189463742189	0.0005339422186881	-0.0009994645970419	-0.0012828730608823	0.0005955654383474	0.0008445964429263	0.0003017397937617	-0.0001431030441526	-0.0004800213246362	4.555868272600528e-05	-0.000402949716867	-0.0004713079154368
ABHD3	6.463207782816268e-05	3.129284143037306e-05	-0.0009093179039435	-0.0003832373685073	0.0003910058882412	0.0006545615408104	5.4733842040039406e-05	-0.0002208451557503	-0.0003041878539322	0.0002870953696639	0.0010123472261754	0.0005432500098335
ABHD4	-6.910212650383921e-05	0.0002015855844853	9.721673505976836e-05	-0.0001445373136045	-0.0001428115244144	0.000111559748133	-6.269742110836751e-05	8.545757968252952e-05	-0.0001503445377411	-6.698424232253576e-05	0.0002500116488075	-0.0001343925544615
ABHD5	-0.0001603863921954	0.0009081951230024	-0.0007872428667176	-0.0006842871774073	-0.0001926082667834	0.0005796730463009	-8.062207086672987e-05	0.00057484869307	1.115220803683116e-06	-0.0001514825202203	-8.192188775571465e-05	-7.565455742910466e-05
ABHD6	0.0001495803506191	-0.0001516947657618	-0.0004089665092622	0.0002078602617211	0.0002648589370211	3.846879572946146e-05	2.7165678128615342e-05	-0.000238370159134	8.988937231250745e-05	0.0001513957988769	4.7956779915573095e-05	-0.0001857204613527
ABHD8	-0.0001498382510113	6.307029693760193e-05	0.0002154118508693	0.0002032876170895	0.0001903190543499	-0.0001804246047964	-0.0001225098810495	-0.000250364572416	-0.0003655993919091	1.864441313122664e-05	-0.0001203031135981	-0.0002834837208998
ABI1	0.0012635497359387	-0.0004196133187167	-0.0021811544832196	-0.0006154977717232	0.000600062804387	0.0006174709987672	-6.249383422655897e-06	0.000366365957698	3.711960624828804e-05	-0.0002563398301148	-0.0003631288534762	0.0007572982754884
ABI2	0.0014180687303078	-0.000648024837865	-0.0013443850069929	7.300983496994016e-05	0.0002003590229179	9.08261198504192e-05	4.692238715930168e-05	-0.0001865387649312	-0.0005135157825109	-0.0001049781690294	-0.0001279285153388	0.0002267850039972
ABI3	-0.0003606446857819	0.0001246856111074	0.0018035523993008	-0.0011811468173531	7.50383268712868e-06	-0.000881871905654	0.0004562765100854	-0.0004664004539527	0.00058056284792	0.0001594311089237	0.0004684350519645	8.742027467361713e-05
ABI3BP	0.0001591201932288	-0.0001450302392565	-0.0001750826642954	-9.727405991898175e-05	2.0658782087497084e-05	0.0002724233895955	-0.0001188758182698	5.569481258995512e-05	1.4606371356937472e-05	-5.896103109529066e-05	0.0002053962820052	-0.0001377987017433
ABL1	0.0004796314617189	-0.0003931849621822	-0.0009593455484806	-0.0008896765735918	0.0006595995317999	0.0009079172487158	-0.0003109806325441	-0.0002434484362588	0.0007704142902441	0.0005891697237938	0.000628480271307	-0.0002935843388513
ABL2	0.0003415060022658	0.0002120700564302	-0.0007216305495944	-0.0009158725492818	0.0005112182733615	0.0003012773121561	8.228379414981268e-06	-0.0001320975873115	1.6495883262813716e-05	6.622210397002704e-05	0.0001915844987889	-0.0003233811969549
ABLIM1	5.964230731486356e-05	-0.0001110727266816	8.304529888447373e-05	-0.0002962559343571	-0.0001143301867993	4.826520631781883e-05	-0.0001909535429086	7.215835988128141e-05	0.0003057591634505	-0.0001315910811498	2.574974699497283e-05	0.0029622439626422
ABLIM2	9.086567638742752e-05	1.233318890262826e-05	-0.0001731524327677	-8.579758201739009e-05	7.599928072283853e-05	3.5890494256489974e-05	3.5146906614793e-05	0.0001506159392575	-0.0001044154572944	-8.729798251538734e-05	-0.0003019047103532	-9.320911901613378e-05
